CompID,COMP_CODE,COMP_NAME,COMP_ADDR1,COMP_ADDR2,COMP_CITY,COMP_STATE,COMP_PIN,COMP_CLASS,COMP_PANNO,COMP_TANNO,COMP_TDSCIRCLE,SIGN_FNAME,SIGN_LNAME,SIGN_ADDR1,SIGN_ADDR2,SIGN_CITY,SIGN_DSG,SIGN_STATE,SIGN_PIN,SIGN_PLACE,SIGN_DATE,RETIRE_AGE,EMP_CODE_GEN,EMP_CODE_PREFIX,EMP_CODE_LEN,COMP_URL,Status
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,,Mandatory Fields,Data Type,Remarks,,,,,,,,,,,,,,,,,,,,,,,
CompID,,,integer,Insert time 0 and updata time give CompID id,,,,,,,,,,,,,,,,,,,,,,,
COMP_CODE,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_NAME,,YES,Text,Minimum 4 character and Maximum can be 100 character,,,,,,,,,,,,,,,,,,,,,,,
COMP_ADDR1,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_ADDR2,,NO,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_CITY,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_STATE,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_PIN,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_CLASS,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_PANNO,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_TANNO,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
COMP_TDSCIRCLE,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_FNAME,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_LNAME,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_ADDR1,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_ADDR2,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_CITY,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_DSG,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_STATE,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_PIN,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_PLACE,,,Text,,,,,,,,,,,,,,,,,,,,,,,,
SIGN_DATE,,,date(dd/mm/yyyy),,,,,,,,,,,,,,,,,,,,,,,,
RETIRE_AGE,,YES,Number,,,,,,,,,,,,,,,,,,,,,,,,
EMP_CODE_GEN,,YES,bool,,,,,,,,,,,,,,,,,,,,,,,,
EMP_CODE_PREFIX,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
EMP_CODE_LEN,,YES,Number,,,,,,,,,,,,,,,,,,,,,,,,
COMP_URL,,YES,Text,,,,,,,,,,,,,,,,,,,,,,,,
Status,,YES,bool,,,,,,,,,,,,,,,,,,,,,,,,
